# stableKey	baseline runtime class	current runtime class	rule	review note
grim.groundspoof.fake	ac.grim.grimac.checks.impl.prediction.GroundSpoof	ac.grim.grimac.checks.impl.prediction.checks.psuedo.NoFallPseudo	package-move	Same fake-ground prediction listener identity; verify bytecode and live state independently.
grim.groundspoof.no_fall	ac.grim.grimac.checks.impl.groundspoof.NoFall	ac.grim.grimac.checks.impl.groundspoof.NoFallExecutor	package-move	Raw-NMS executor moved into the current ground-spoof package.
grim.movement.noslow	ac.grim.grimac.checks.impl.movement.NoSlow	ac.grim.grimac.checks.impl.prediction.checks.NoSlow	package-move	NoSlow moved with the prediction listener port.
grim.ping.invalid_transaction_order	ac.grim.grimac.checks.impl.misc.TransactionOrder	ac.grim.grimac.checks.impl.ping.TransactionOrder	package-move	Transaction-order check moved into the current ping package.
grim.post.invalid_order	ac.grim.grimac.checks.impl.misc.Post	ac.grim.grimac.checks.impl.post.PostCheck	package-move	Post-order listener moved into the current post package.
grim.prediction.phase	ac.grim.grimac.checks.impl.prediction.Phase	ac.grim.grimac.checks.impl.prediction.checks.Phase	package-move	Phase check moved below the current prediction checks package.
grim.timer.limit	ac.grim.grimac.checks.impl.timer.TimerLimit	ac.grim.grimac.checks.impl.movement.timer.TimerLimit	package-move	Timer check moved into the current movement timer package.
grim.timer.tick	ac.grim.grimac.checks.impl.timer.TickTimer	ac.grim.grimac.checks.impl.movement.timer.TickTimer	package-move	Tick timer moved into the current movement timer package.
grim.timer.timer	ac.grim.grimac.checks.impl.timer.Timer	ac.grim.grimac.checks.impl.movement.timer.TimerCheck	package-move	Main timer check moved and was renamed to avoid the package type collision.
grim.timer.vehicle	ac.grim.grimac.checks.impl.timer.VehicleTimer	ac.grim.grimac.checks.impl.movement.timer.VehicleTimer	package-move	Vehicle timer moved into the current movement timer package.
grim.velocity.anti_explosion	ac.grim.grimac.checks.impl.velocity.ExplosionHandler	ac.grim.grimac.checks.impl.prediction.runner.ExplosionHandler	package-move	Explosion anti-knockback handler moved into the prediction runner package.
grim.velocity.anti_knockback	ac.grim.grimac.checks.impl.velocity.KnockbackHandler	ac.grim.grimac.checks.impl.prediction.runner.KnockbackHandler	package-move	Knockback handler moved into the prediction runner package.
